t/s	x/m	y/m
0,00	1,000	0,700
0,02	1,050	0,736
0,04	1,100	0,772
0,06	1,149	0,807
0,08	1,199	0,843
0,10	1,248	0,878
0,12	1,298	0,913
0,14	1,347	0,948
0,16	1,396	0,983
0,18	1,444	1,018
0,20	1,493	1,052
0,22	1,542	1,086
0,24	1,590	1,120
0,26	1,638	1,154
0,28	1,687	1,188
0,30	1,735	1,222
0,32	1,782	1,256
0,34	1,830	1,289
0,36	1,878	1,322
0,38	1,925	1,355
0,40	1,972	1,388
0,42	2,019	1,421
0,44	2,066	1,453
0,46	2,113	1,486
0,48	2,160	1,518
0,50	2,207	1,550
0,52	2,253	1,582
0,54	2,299	1,614
0,56	2,345	1,645
0,58	2,391	1,677
0,60	2,437	1,708
0,62	2,483	1,739
0,64	2,529	1,770
0,66	2,574	1,801
0,68	2,619	1,832
0,70	2,664	1,862
0,72	2,709	1,892
0,74	2,754	1,922
0,76	2,799	1,952
0,78	2,843	1,982
0,80	2,888	2,012
0,82	2,932	2,042
0,84	2,976	2,071
0,86	3,020	2,100
0,88	3,064	2,129
0,90	3,107	2,158
0,92	3,151	2,187
0,94	3,194	2,215
0,96	3,237	2,244
0,98	3,280	2,272
1,00	3,323	2,300
1,02	3,366	2,328
1,04	3,408	2,356
1,06	3,451	2,383
1,08	3,493	2,411
1,10	3,535	2,438
1,12	3,577	2,465
1,14	3,619	2,492
1,16	3,660	2,519
1,18	3,702	2,546
1,20	3,743	2,572
1,22	3,784	2,598
1,24	3,825	2,624
1,26	3,866	2,650
1,28	3,907	2,676
1,30	3,947	2,702
1,32	3,988	2,728
1,34	4,028	2,753
1,36	4,068	2,778
1,38	4,108	2,803
1,40	4,148	2,828
1,42	4,187	2,853
1,44	4,227	2,877
1,46	4,266	2,902
1,48	4,305	2,926
1,50	4,344	2,950
1,52	4,383	2,974
1,54	4,421	2,998
1,56	4,460	3,021
1,58	4,498	3,045
1,60	4,536	3,068
1,62	4,574	3,091
1,64	4,612	3,114
1,66	4,650	3,137
1,68	4,687	3,160
1,70	4,724	3,182
1,72	4,761	3,204
1,74	4,798	3,226
1,76	4,835	3,248
1,78	4,872	3,270
1,80	4,908	3,292
1,82	4,945	3,314
1,84	4,981	3,335
1,86	5,017	3,356
1,88	5,053	3,377
1,90	5,088	3,398
1,92	5,124	3,419
1,94	5,159	3,439
1,96	5,194	3,460
1,98	5,229	3,480
2,00	5,264	3,500
2,02	5,299	3,520
2,04	5,333	3,540
2,06	5,367	3,559
2,08	5,402	3,579
2,10	5,435	3,598
2,12	5,469	3,617
2,14	5,503	3,636
2,16	5,536	3,655
2,18	5,570	3,674
2,20	5,603	3,692
2,22	5,636	3,710
2,24	5,668	3,728
2,26	5,701	3,746
2,28	5,733	3,764
2,30	5,766	3,782
2,32	5,798	3,800
2,34	5,829	3,817
2,36	5,861	3,834
2,38	5,893	3,851
2,40	5,924	3,868
2,42	5,955	3,885
2,44	5,986	3,901
2,46	6,017	3,918
2,48	6,048	3,934
